c6c59f,047020
c3c5bb,888010
a8b8af,728010
a7b1b1,688010
dd9f0a,088080
e6bd40,048080
f4de1e,049060
c8cc7e,928030
b5b5ae,927010
99a398,727020
9ba5a5,726010
af6656,248070
a04e38,246050
af7c5c,207060
999d8c,927020
8d9486,886010
5b735f,727050
86a199,767030
5e4146,242020
a8381a,288070
e44f4f,289050
9fa045,927949
6a6c6d,905010
3e534d,724040
808c78,846030
724f62,365040
975270,369070
a6748e,368040
838458,004030
5a6955,883020
92a291,765020
668055,846060
4a4956,482020
4c3a7e,529090
63597f,487070
696a55,043030
3e453d,88101
5d6f5e,763020
52674f,84404
304d86,607070
4a6685,645050
628897,689080
302a26,041010
455551,682020
6a736a,882010
404e3e,842020
497840,809090
6f9b56,809070
8cac4e,087060
