f5ecb1,129020
c2b98b,128040
bbaa5f,087060
bca666,128060
8f7f57,125040
726753,164030
544c44,122020
cdc8a8,128030
bcb28b,127030
b7a973,127040
a58d53,126060
946d3f,165050
7c7466,164020
534c49,162020
c8bdab,168020
b9b39b,127020
b1a78f,166020
545352,121010
a08655,165030
514b47,122010
bab6ac,128010
c3b6a1,208020
cba98f,207020
cfb5a1,206020
a7827b,246030
8e6a64,245030
72444c,284020
57474a,323030
fbd6b2,249010
cfb5a1,248020
dcba93,208030
b0887d,247030
84534c,24505
6d3939,284030
4f424c,242010
ba9395,288020
a6827c,246020
a96a79,287030
c96b6e,288050
7f4148,286050
7d3c4d,285040
5c4d50,243010
953b56,328080
955059,287060
874958,327070
7d3f3f,285040
652938,325050
5e243f,324040
504649,282020
