MCL1A
MCL2A
MCL2B,MCL2C
MCL2C,MCL2B
MCL3A,MCL3B
MCL3B,MCL3A
MCL4A,MCL4B
MCL4B,MCL4A
MCL5A,MCL5B,MCL5C
MCL5B,MCL5A,MCL5C
MCL5C,MCL5A,MCL5B
MCL6A,MCL6B
MCL6B,MCL6A
MCL7A,MCL7B
MCL7B,MCL7A
MCL9A
MCL10A,MCL10B,MCL10C
MCL10B,MCL10A,MCL10C
MCL11A,MCL11B
MCL11B,MCL11A
MCL13A,MCL13B,MCL13C
MCL13B,MCL13A,MCL13C
MCL13C,MCL13A,MCL13B
MCL14A
MCL14B,MCL14C
MCL14C,MCL14B
MCL15A,MCL15B,MCL15C
MCL15B,MCL15A,MCL15C
MCL15C,MCL15A,MCL15B
MCL16A,MCL16B,MCL16C
MCL16B,MCL16A,MCL16C
MCL16C,MCL16A,MCL16B
MCL17A,MCL17B
MCL17B,MCL17A
MCL19A,MCL19B,MCL19C
MCL19B,MCL19A,MCL19C
MCL19C,MCL19A,MCL19B
MCL19D
MCL20A
MCL21A
MCL22A,MCL22B,MCL22C
MCL22B,MCL22A,MCL22C
MCL22C,MCL22A,MCL22B
MCL23A,MCL23B
MCL23B,MCL23A
MCL24A
MCL24B
MCL25A
